utime,type,vel vx,vel vy,vel wz
1713050067162344,MBOT_VEL,0.0,0.0,-0.0
1713050067202708,MBOT_VEL,0.0,0.0,-0.0
1713050067243071,MBOT_VEL,0.0,0.0,-0.0
1713050067283589,MBOT_VEL,0.0,0.0,-0.0
1713050067323997,MBOT_VEL,0.0,0.0,-0.0
1713050067364364,MBOT_VEL,0.0,0.0,-0.0
1713050067404733,MBOT_VEL,0.0,0.0,-0.0
1713050067446219,MBOT_VEL,0.0,0.0,-0.0
1713050067486730,MBOT_VEL,0.0,0.0,-0.0
1713050067527123,MBOT_VEL,0.0,0.0,-0.0
1713050067567493,MBOT_VEL,0.0,0.0,-0.0
1713050067607863,MBOT_VEL,0.0,0.0,-0.0
1713050067648235,MBOT_VEL,0.0,0.0,-0.0
1713050067688755,MBOT_VEL,0.0,0.0,-0.0
1713050067729154,MBOT_VEL,0.0,0.0,-0.0
1713050067769518,MBOT_VEL,0.0,0.0,-0.0
1713050067810519,MBOT_VEL,0.0,0.0,-0.0
1713050067850888,MBOT_VEL,0.0,0.0,-0.0
1713050067891397,MBOT_VEL,0.0,0.0,-0.0
1713050067933919,MBOT_VEL,0.0,0.0,-0.0
1713050067974326,MBOT_VEL,0.0,0.0,-0.0
1713050068014699,MBOT_VEL,0.0,0.0,-0.0
1713050068055063,MBOT_VEL,0.0,0.0,-0.0
1713050068096480,MBOT_VEL,0.0,0.0,-0.0
1713050068136877,MBOT_VEL,0.0,0.0,-0.0
1713050068177261,MBOT_VEL,0.0,0.0,-0.0
1713050068217632,MBOT_VEL,0.0,0.0,-0.0
1713050068258008,MBOT_VEL,0.0,0.0,-0.0
1713050068298534,MBOT_VEL,0.0,0.0,-0.0
1713050068338924,MBOT_VEL,0.0,0.0,-0.0
1713050068379295,MBOT_VEL,0.0,0.0,-0.0
1713050068419648,MBOT_VEL,0.0,0.0,-0.0
1713050068461017,MBOT_VEL,0.0,0.0,-0.0
1713050068501539,MBOT_VEL,0.0,0.0,-0.0
1713050068541941,MBOT_VEL,0.0,0.0,-0.0
1713050068582314,MBOT_VEL,0.0,0.0,-0.0
1713050068622677,MBOT_VEL,0.0,0.0,-0.0
1713050068663050,MBOT_VEL,0.0,0.0,-0.0
1713050068703565,MBOT_VEL,0.0,0.0,-0.0
1713050068743961,MBOT_VEL,0.0,0.0,-0.0
1713050068785128,MBOT_VEL,0.0,0.0,-0.0
1713050068825499,MBOT_VEL,0.0,0.0,-0.0
1713050068865857,MBOT_VEL,0.0,0.0,-0.0
1713050068906365,MBOT_VEL,0.0,0.0,-0.0
1713050068944739,MBOT_VEL,0.0,0.0,-0.0
1713050068985139,MBOT_VEL,0.0,0.0,-0.0
1713050069025511,MBOT_VEL,0.0,0.0,-0.0
1713050069065879,MBOT_VEL,0.0,0.0,-0.0
1713050069107240,MBOT_VEL,0.0,0.0,-0.0
1713050069147626,MBOT_VEL,0.0,0.0,-0.0
1713050069187992,MBOT_VEL,0.0,0.0,-0.0
1713050069228355,MBOT_VEL,0.0,0.0,-0.0
1713050069268725,MBOT_VEL,0.0,0.0,-0.0
1713050069309249,MBOT_VEL,0.0,0.0,-0.0
1713050069349647,MBOT_VEL,0.0,0.0,-0.0
1713050069390760,MBOT_VEL,0.0,0.0,-0.0
1713050069431123,MBOT_VEL,0.0,0.0,-0.0
1713050069471479,MBOT_VEL,0.0,0.0,-0.0
1713050069511986,MBOT_VEL,0.0,0.0,-0.0
1713050069552384,MBOT_VEL,0.0,0.0,-0.0
1713050069592795,MBOT_VEL,0.0,0.0,-0.0
1713050069633193,MBOT_VEL,0.0,0.0,-0.0
1713050069673605,MBOT_VEL,0.0,0.0,-0.0
1713050069715188,MBOT_VEL,0.0,0.0,-0.0
1713050069755602,MBOT_VEL,0.0,0.0,-0.0
1713050069795994,MBOT_VEL,0.0,0.0,-0.0
1713050069836392,MBOT_VEL,0.0,0.0,-0.0
1713050069876818,MBOT_VEL,0.0,0.0,-0.0
1713050069916079,MBOT_VEL,0.0,0.0,-0.0
1713050069956509,MBOT_VEL,0.0,0.0,-0.0
1713050069997739,MBOT_VEL,0.0,0.0,-0.0
1713050070038139,MBOT_VEL,0.0,0.0,-0.0
1713050070078533,MBOT_VEL,0.0,0.0,-0.0
1713050070119059,MBOT_VEL,0.0,0.0,-0.0
1713050070159468,MBOT_VEL,0.0,0.0,-0.0
1713050070199864,MBOT_VEL,0.0,0.0,-0.0
1713050070240265,MBOT_VEL,0.0,0.0,-0.0
1713050070280680,MBOT_VEL,0.0,0.0,-0.0
1713050070322137,MBOT_VEL,0.0,0.0,-0.0
1713050070362524,MBOT_VEL,0.0,0.0,-0.0
1713050070402916,MBOT_VEL,0.0,0.0,-0.0
1713050070443316,MBOT_VEL,0.0,0.0,-0.0
1713050070483705,MBOT_VEL,0.0,0.0,-0.0
1713050070524247,MBOT_VEL,0.0,0.0,-0.0
1713050070564643,MBOT_VEL,0.0,0.0,-0.0
1713050070606019,MBOT_VEL,0.0,0.0,-0.0
1713050070646419,MBOT_VEL,0.0,0.0,-0.0
1713050070686814,MBOT_VEL,0.0,0.0,-0.0
1713050070727345,MBOT_VEL,0.0,0.0,-0.0
1713050070767720,MBOT_VEL,0.0,0.0,-0.0
1713050070808116,MBOT_VEL,0.0,0.0,-0.0
1713050070848500,MBOT_VEL,0.0,0.0,-0.0
1713050070888904,MBOT_VEL,0.0,0.0,-0.0
1713050070931345,MBOT_VEL,0.0,0.0,-0.0
1713050070972834,MBOT_VEL,0.0,0.0,-0.0
1713050071013233,MBOT_VEL,0.0,0.0,-0.0
1713050071053646,MBOT_VEL,0.0,0.0,-0.0
1713050071094050,MBOT_VEL,0.0,0.0,-0.0
1713050071134573,MBOT_VEL,0.0,0.0,-0.0
1713050071174971,MBOT_VEL,0.0,0.0,-0.0
1713050071216206,MBOT_VEL,0.0,0.0,-0.0
1713050071256607,MBOT_VEL,0.0,0.0,-0.0
1713050071297011,MBOT_VEL,0.0,0.0,-0.0
1713050071337542,MBOT_VEL,0.0,0.0,-0.0
1713050071377934,MBOT_VEL,0.0,0.0,-0.0
1713050071418337,MBOT_VEL,0.0,0.0,-0.0
1713050071458747,MBOT_VEL,0.0,0.0,-0.0
1713050071499142,MBOT_VEL,0.0,0.0,-0.0
1713050071540932,MBOT_VEL,0.0,0.0,-0.0
1713050071581339,MBOT_VEL,0.0,0.0,-0.0
1713050071621752,MBOT_VEL,0.0,0.0,-0.0
1713050071662151,MBOT_VEL,0.0,0.0,-0.0
1713050071702557,MBOT_VEL,0.0,0.0,-0.0
1713050071743086,MBOT_VEL,0.0,0.0,-0.0
1713050071784571,MBOT_VEL,0.0,0.0,-0.0
1713050071824984,MBOT_VEL,0.0,0.0,-0.0
1713050071865395,MBOT_VEL,0.0,0.0,-0.0
1713050071905806,MBOT_VEL,0.0,0.0,-0.0
1713050071945637,MBOT_VEL,0.0,0.0,-0.0
1713050071986069,MBOT_VEL,0.0,0.0,-0.0
1713050072026476,MBOT_VEL,0.0,0.0,-0.0
1713050072066881,MBOT_VEL,0.0,0.0,-0.0
1713050072108331,MBOT_VEL,0.0,0.0,-0.0
1713050072148866,MBOT_VEL,0.0,0.0,-0.0
1713050072189274,MBOT_VEL,0.0,0.0,-0.0
1713050072229680,MBOT_VEL,0.0,0.0,-0.0
1713050072270082,MBOT_VEL,0.0,0.0,-0.0
1713050072310484,MBOT_VEL,0.0,0.0,-0.0
1713050072351027,MBOT_VEL,0.0,0.0,-0.0
1713050072392129,MBOT_VEL,0.0,0.0,-0.0
1713050072432558,MBOT_VEL,0.0,0.0,-0.0
1713050072472957,MBOT_VEL,0.0,0.0,-0.0
1713050072513353,MBOT_VEL,0.0,0.0,-0.0
1713050072553877,MBOT_VEL,0.0,0.0,-0.0
1713050072594363,MBOT_VEL,0.0,0.0,-0.0
1713050072634770,MBOT_VEL,0.0,0.0,-0.0
1713050072675157,MBOT_VEL,0.0,0.0,-0.0
1713050072716803,MBOT_VEL,0.0,0.0,-0.0
1713050072757338,MBOT_VEL,0.0,0.0,-0.0
1713050072797760,MBOT_VEL,0.0,0.0,-0.0
1713050072838150,MBOT_VEL,0.0,0.0,-0.0
1713050072878556,MBOT_VEL,0.0,0.0,-0.0
1713050072916255,MBOT_VEL,0.0,0.0,-0.0
1713050072957908,MBOT_VEL,0.0,0.0,-0.0
1713050072998341,MBOT_VEL,0.0,0.0,-0.0
1713050073038717,MBOT_VEL,0.0,0.0,-0.0
1713050073079111,MBOT_VEL,0.0,0.0,-0.0
1713050073119511,MBOT_VEL,0.0,0.0,-0.0
1713050073160058,MBOT_VEL,0.0,0.0,-0.0
1713050073200548,MBOT_VEL,0.0,0.0,-0.0
1713050073240948,MBOT_VEL,0.0,0.0,-0.0
1713050073281351,MBOT_VEL,0.0,0.0,-0.0
1713050073322913,MBOT_VEL,0.0,0.0,-0.0
1713050073363465,MBOT_VEL,0.0,0.0,-0.0
1713050073403888,MBOT_VEL,0.0,0.0,-0.0
1713050073444266,MBOT_VEL,0.0,0.0,-0.0
1713050073484686,MBOT_VEL,0.0,0.0,-0.0
1713050073526164,MBOT_VEL,0.0,0.0,-0.0
1713050073566687,MBOT_VEL,0.0,0.0,-0.0
1713050073607179,MBOT_VEL,0.0,0.0,-0.0
1713050073647579,MBOT_VEL,0.0,0.0,-0.0
1713050073687983,MBOT_VEL,0.0,0.0,-0.0
1713050073728401,MBOT_VEL,0.0,0.0,-0.0
1713050073768933,MBOT_VEL,0.0,0.0,-0.0
1713050073809417,MBOT_VEL,0.0,0.0,-0.0
1713050073850867,MBOT_VEL,0.0,0.0,-0.0
1713050073891260,MBOT_VEL,0.0,0.0,-0.0
1713050073936704,MBOT_VEL,0.0,0.0,-0.0
1713050073977251,MBOT_VEL,0.0,0.0,-0.0
1713050074017681,MBOT_VEL,0.0,0.0,-0.0
1713050074058056,MBOT_VEL,0.0,0.0,-0.0
1713050074099592,MBOT_VEL,0.0,0.0,-0.0
1713050074139984,MBOT_VEL,0.0,0.0,-0.0
1713050074180516,MBOT_VEL,0.0,0.0,-0.0
1713050074220944,MBOT_VEL,0.0,0.0,-0.0
1713050074261328,MBOT_VEL,0.0,0.0,-0.0
1713050074301722,MBOT_VEL,0.0,0.0,-0.0
1713050074342132,MBOT_VEL,0.0,0.0,-0.0
1713050074382661,MBOT_VEL,0.0,0.0,-0.0
1713050074424040,MBOT_VEL,0.0,0.0,-0.0
1713050074464420,MBOT_VEL,0.0,0.0,-0.0
1713050074504807,MBOT_VEL,0.0,0.0,-0.0
1713050074545207,MBOT_VEL,-0.0020851234439760447,0.0,-0.026780420914292336
1713050074585738,MBOT_VEL,0.0,0.0,-0.0
1713050074626210,MBOT_VEL,0.0,0.0,-0.0
1713050074666602,MBOT_VEL,0.0,0.0,-0.0
1713050074707855,MBOT_VEL,0.0,0.0,-0.0
1713050074748253,MBOT_VEL,0.0,0.0,-0.0
1713050074788790,MBOT_VEL,0.0,0.0,-0.0
1713050074829222,MBOT_VEL,0.0,0.0,-0.0
1713050074869600,MBOT_VEL,0.0,0.0,-0.0
1713050074910001,MBOT_VEL,0.0,0.0,-0.0
1713050074949234,MBOT_VEL,0.0,0.0,-0.0
1713050074989760,MBOT_VEL,0.0,0.0,-0.0
1713050075031159,MBOT_VEL,0.0,0.0,-0.0
1713050075071550,MBOT_VEL,0.0,0.0,-0.0
1713050075111943,MBOT_VEL,0.0,0.0,-0.0
1713050075152339,MBOT_VEL,0.0,0.0,-0.0
1713050075192866,MBOT_VEL,0.0,0.0,-0.0
1713050075233300,MBOT_VEL,0.0,0.0,-0.0
1713050075273676,MBOT_VEL,0.0,0.0,-0.0
1713050075314945,MBOT_VEL,0.0,0.0,-0.0
1713050075355340,MBOT_VEL,0.0,0.0,-0.0
1713050075395885,MBOT_VEL,0.0,0.0,-0.0
1713050075436320,MBOT_VEL,0.0,0.0,-0.0
1713050075476689,MBOT_VEL,0.0,0.0,-0.0
1713050075517090,MBOT_VEL,0.0,0.0,-0.0
1713050075557496,MBOT_VEL,0.0,0.0,-0.0
1713050075598015,MBOT_VEL,0.0,0.0,-0.0
1713050075639357,MBOT_VEL,0.0,0.0,-0.0
1713050075679742,MBOT_VEL,0.0,0.0,-0.0
1713050075720133,MBOT_VEL,0.0,0.0,-0.0
1713050075760535,MBOT_VEL,0.0,0.0,-0.0
1713050075801059,MBOT_VEL,0.0,0.0,-0.0
1713050075841481,MBOT_VEL,0.0,0.0,-0.0
1713050075881863,MBOT_VEL,0.0,0.0,-0.0
1713050075924175,MBOT_VEL,0.0,0.0,-0.0
1713050075964571,MBOT_VEL,0.0,0.0,-0.0
1713050076005119,MBOT_VEL,0.0,0.0,-0.0
1713050076045548,MBOT_VEL,0.0,0.0,-0.0
1713050076085923,MBOT_VEL,0.0,0.0,-0.0
1713050076126313,MBOT_VEL,0.0,0.0,-0.0
1713050076166713,MBOT_VEL,0.0,0.0,-0.0
1713050076207227,MBOT_VEL,0.0,0.0,-0.0
1713050076248897,MBOT_VEL,0.0,0.0,-0.0
1713050076289270,MBOT_VEL,0.0,0.0,-0.0
1713050076329677,MBOT_VEL,0.0,0.0,-0.0
1713050076370084,MBOT_VEL,0.0,0.0,-0.0
1713050076410617,MBOT_VEL,0.0,0.0,-0.0
1713050076451036,MBOT_VEL,0.0,0.0,-0.0
1713050076492545,MBOT_VEL,0.0,0.0,-0.0
1713050076532949,MBOT_VEL,0.0,0.0,-0.0
1713050076573360,MBOT_VEL,0.0,0.0,-0.0
1713050076613897,MBOT_VEL,0.0,0.0,-0.0
1713050076654323,MBOT_VEL,0.0,0.0,-0.0
1713050076694707,MBOT_VEL,0.0,0.0,-0.0
1713050076735092,MBOT_VEL,0.0,0.0,-0.0
1713050076775483,MBOT_VEL,0.0,0.0,-0.0
1713050076816974,MBOT_VEL,0.0,0.0,-0.0
1713050076857391,MBOT_VEL,0.0,0.0,-0.0
1713050076897840,MBOT_VEL,0.0,0.0,-0.0
1713050076931265,MBOT_VEL,0.0,0.0,-0.0
1713050076971675,MBOT_VEL,0.0,0.0,-0.0
1713050077012197,MBOT_VEL,0.0,0.0,-0.0
1713050077052656,MBOT_VEL,0.0,0.0,-0.0
1713050077093836,MBOT_VEL,0.0,0.0,-0.0
1713050077134211,MBOT_VEL,0.0,0.0,-0.0
1713050077174602,MBOT_VEL,0.0,0.0,-0.0
1713050077215153,MBOT_VEL,0.08413304388523102,0.0,-0.22678592801094055
1713050077255603,MBOT_VEL,0.12078766524791718,0.0,-0.05349459871649742
1713050077296003,MBOT_VEL,0.1470012068748474,0.0,-0.013390220701694489
1713050077336413,MBOT_VEL,0.16676859557628632,0.0,0.0
1713050077376824,MBOT_VEL,0.17822952568531036,0.0,-0.013386506587266922
1713050077418210,MBOT_VEL,0.18319019675254822,0.0,-0.026142427697777748
1713050077458647,MBOT_VEL,0.18228137493133545,0.0,-0.013378052972257137
1713050077499041,MBOT_VEL,0.18038995563983917,0.0,-0.01339214202016592
1713050077539455,MBOT_VEL,0.18446949124336243,0.0,-0.013385609723627567
1713050077579868,MBOT_VEL,0.1876007467508316,0.0,-0.02677186019718647
1713050077620421,MBOT_VEL,0.18072134256362915,0.0,-0.026679379865527153
1713050077660861,MBOT_VEL,0.1843508929014206,0.0,-0.013376899994909763
1713050077701265,MBOT_VEL,0.18555763363838196,0.0,-0.026777751743793488
1713050077742747,MBOT_VEL,0.18276621401309967,0.0,-0.05216381326317787
1713050077783158,MBOT_VEL,0.18135635554790497,0.0,-0.02677314169704914
1713050077823732,MBOT_VEL,0.18478015065193176,0.0,0.0
1713050077864157,MBOT_VEL,0.18441930413246155,0.0,-0.0133818956092
1713050077904556,MBOT_VEL,0.1751547008752823,0.0,-0.08034337311983109
1713050077952107,MBOT_VEL,0.1496960073709488,0.0,-0.05688256397843361
1713050077993623,MBOT_VEL,0.175514817237854,0.0,-0.06515131890773773
