utime,type,vel vx,vel vy,vel wz
1712889843332927,MBOT_VEL,0.0,0.0,-0.0
1712889843373314,MBOT_VEL,0.0,0.0,-0.0
1712889843413859,MBOT_VEL,0.0,0.0,-0.0
1712889843455506,MBOT_VEL,0.0,0.0,-0.0
1712889843495893,MBOT_VEL,0.0,0.0,-0.0
1712889843536303,MBOT_VEL,0.0,0.0,-0.0
1712889843576701,MBOT_VEL,0.0,0.0,-0.0
1712889843617258,MBOT_VEL,0.0,0.0,-0.0
1712889843657683,MBOT_VEL,0.0,0.0,-0.0
1712889843698069,MBOT_VEL,0.0,0.0,-0.0
1712889843738469,MBOT_VEL,0.0,0.0,-0.0
1712889843775214,MBOT_VEL,0.0,0.0,-0.0
1712889843816619,MBOT_VEL,0.0,0.0,-0.0
1712889843857126,MBOT_VEL,0.0,0.0,-0.0
1712889843897514,MBOT_VEL,0.0,0.0,-0.0
1712889843937909,MBOT_VEL,0.0,0.0,-0.0
1712889843978306,MBOT_VEL,0.0,0.0,-0.0
1712889844018844,MBOT_VEL,0.0,0.0,-0.0
1712889844059282,MBOT_VEL,0.0,0.0,-0.0
1712889844099670,MBOT_VEL,0.0,0.0,-0.0
1712889844140057,MBOT_VEL,0.0,0.0,-0.0
1712889844180478,MBOT_VEL,0.0,0.0,-0.0
1712889844221973,MBOT_VEL,0.0,0.0,-0.0
1712889844262395,MBOT_VEL,0.0,0.0,-0.0
1712889844302772,MBOT_VEL,0.0,0.0,-0.0
1712889844343165,MBOT_VEL,0.0,0.0,-0.0
1712889844383556,MBOT_VEL,0.0,0.0,-0.0
1712889844424086,MBOT_VEL,0.0,0.0,-0.0
1712889844464569,MBOT_VEL,0.0,0.0,-0.0
1712889844504970,MBOT_VEL,0.0,0.0,-0.0
1712889844545360,MBOT_VEL,0.0,0.0,-0.0
1712889844585755,MBOT_VEL,0.0,0.0,-0.0
1712889844626282,MBOT_VEL,0.0,0.0,-0.0
1712889844667944,MBOT_VEL,0.0,0.0,-0.0
1712889844708326,MBOT_VEL,0.0,0.0,-0.0
1712889844750377,MBOT_VEL,0.0,0.0,-0.0
1712889844790784,MBOT_VEL,0.0,0.0,-0.0
1712889844831322,MBOT_VEL,0.0,0.0,-0.0
1712889844871740,MBOT_VEL,0.0,0.0,-0.0
1712889844912132,MBOT_VEL,0.0,0.0,-0.0
1712889844952541,MBOT_VEL,0.0,0.0,-0.0
1712889844992938,MBOT_VEL,0.0,0.0,-0.0
1712889845033481,MBOT_VEL,0.0,0.0,-0.0
1712889845074384,MBOT_VEL,0.0,0.0,-0.0
1712889845114801,MBOT_VEL,0.0,0.0,-0.0
1712889845155194,MBOT_VEL,0.0,0.0,-0.0
1712889845195589,MBOT_VEL,0.0,0.0,-0.0
1712889845236123,MBOT_VEL,0.0,0.0,-0.0
1712889845276541,MBOT_VEL,0.0,0.0,-0.0
1712889845316918,MBOT_VEL,0.0,0.0,-0.0
1712889845357306,MBOT_VEL,0.0,0.0,-0.0
1712889845397706,MBOT_VEL,0.0,0.0,-0.0
1712889845438238,MBOT_VEL,0.0,0.0,-0.0
1712889845478667,MBOT_VEL,0.0,0.0,-0.0
1712889845519041,MBOT_VEL,0.0,0.0,-0.0
1712889845560285,MBOT_VEL,0.0,0.0,-0.0
1712889845600677,MBOT_VEL,0.0,0.0,-0.0
1712889845641209,MBOT_VEL,0.0,0.0,-0.0
1712889845681630,MBOT_VEL,0.0,0.0,-0.0
1712889845721994,MBOT_VEL,0.0,0.0,-0.0
1712889845760734,MBOT_VEL,0.0,0.0,-0.0
1712889845801138,MBOT_VEL,0.0,0.0,-0.0
1712889845841664,MBOT_VEL,0.0,0.0,-0.0
1712889845882097,MBOT_VEL,0.0,0.0,-0.0
1712889845922471,MBOT_VEL,0.0,0.0,-0.0
1712889845963664,MBOT_VEL,0.0,0.0,-0.0
1712889846004062,MBOT_VEL,0.0,0.0,-0.0
1712889846044596,MBOT_VEL,0.0,0.0,-0.0
1712889846085030,MBOT_VEL,0.0,0.0,-0.0
1712889846125408,MBOT_VEL,0.0,0.0,-0.0
1712889846165802,MBOT_VEL,0.0,0.0,-0.0
1712889846206199,MBOT_VEL,0.0,0.0,-0.0
1712889846246742,MBOT_VEL,0.0,0.0,-0.0
