utime,vel vx,vel vy,vel wz,apriltag 1 id,apriltag 1 latitude,apriltag 1 longitude,apriltag 2 id,apriltag 2 latitude,apriltag 2 longitude,odometry x,odometry y,odometry theta
1713050077174602,0.0000,0.0000,0.0000,-1,-1,-1,-1,-1,-1,-0.0001,0.0000,-0.0010712167713791132
1713050077215153,0.0841,0.0000,-0.2268,-1,-1,-1,-1,-1,-1,0.0033,0.0000,-0.010142653249204159
1713050077255603,0.1208,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.0081,-0.0001,-0.012282436713576317
1713050077296003,0.1470,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.0140,-0.0001,-0.012818045914173126
1713050077336413,0.1668,0.0000,0.0000,-1,-1,-1,-1,-1,-1,0.0207,-0.0002,-0.012818045914173126
1713050077376824,0.1782,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.0278,-0.0003,-0.013353506103157997
1713050077418210,0.1832,0.0000,-0.0261,-1,-1,-1,-1,-1,-1,0.0351,-0.0004,-0.014399203471839428
1713050077458647,0.1823,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.0424,-0.0005,-0.014934325590729713
1713050077499041,0.1804,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.0496,-0.0006,-0.015470011159777641
1713050077539455,0.1845,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.0570,-0.0007,-0.016005435958504677
1713050077579868,0.1876,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.0645,-0.0008,-0.017076309770345688
1713050077620421,0.1807,0.0000,-0.0267,-1,-1,-1,-1,-1,-1,0.0717,-0.0010,-0.018143484368920326
1713050077660861,0.1844,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.0791,-0.0011,-0.018678560853004456
1713050077701265,0.1856,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.0865,-0.0012,-0.01974967122077942
1713050077742747,0.1828,0.0000,-0.0522,-1,-1,-1,-1,-1,-1,0.0938,-0.0014,-0.02183622308075428
1713050077783158,0.1814,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.1011,-0.0015,-0.02290714904665947
1713050077823732,0.1848,0.0000,0.0000,-1,-1,-1,-1,-1,-1,0.1085,-0.0017,-0.02290714904665947
1713050077864157,0.1844,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.1159,-0.0019,-0.023442424833774567
1713050077904556,0.1752,0.0000,-0.0803,-1,-1,-1,-1,-1,-1,0.1229,-0.0020,-0.02665616013109684
1713050077952107,0.1497,0.0000,-0.0569,-1,-1,-1,-1,-1,-1,0.1288,-0.0022,-0.02893146313726902
1713050077993623,0.1755,0.0000,-0.0652,-1,-1,-1,-1,-1,-1,0.1359,-0.0024,-0.03153751417994499
1713050078034188,0.1765,0.0000,-0.1067,-1,-1,-1,-1,-1,-1,0.1429,-0.0026,-0.035804953426122665
1713050078074636,0.1749,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.1499,-0.0029,-0.037944842129945755
1713050078115035,0.1793,0.0000,-0.0536,-1,-1,-1,-1,-1,-1,0.1571,-0.0032,-0.04008732736110687
1713050078155453,0.1782,0.0000,-0.0669,-1,-1,-1,-1,-1,-1,0.1642,-0.0034,-0.04276417940855026
1713050078195867,0.1782,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.1713,-0.0037,-0.04437044635415077
1713050078236422,0.1807,0.0000,-0.0534,-1,-1,-1,-1,-1,-1,0.1785,-0.0041,-0.04650469496846199
1713050078277559,0.1771,0.0000,-0.0658,-1,-1,-1,-1,-1,-1,0.1856,-0.0044,-0.0491347573697567
1713050078317969,0.1814,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.1929,-0.0048,-0.051276661455631256
1713050078358385,0.1792,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.2000,-0.0051,-0.05234745889902115
1713050078398803,0.1772,0.0000,-0.0803,-1,-1,-1,-1,-1,-1,0.2071,-0.0055,-0.0555596761405468
1713050078439352,0.1797,0.0000,-0.0400,-1,-1,-1,-1,-1,-1,0.2143,-0.0059,-0.057160601019859314
1713050078479840,0.1810,0.0000,-0.0267,-1,-1,-1,-1,-1,-1,0.2215,-0.0063,-0.058229487389326096
1713050078520252,0.1793,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.2287,-0.0067,-0.060371283441782
1713050078560673,0.1678,0.0000,0.8699,-1,-1,-1,-1,-1,-1,0.2354,-0.0071,-0.025574825704097748
1713050078602267,0.1813,0.0000,0.4292,-1,-1,-1,-1,-1,-1,0.2426,-0.0073,-0.00840713270008564
1713050078642806,0.1984,0.0000,0.0400,-1,-1,-1,-1,-1,-1,0.2506,-0.0074,-0.00680581945925951
1713050078683220,0.1834,0.0000,0.1874,-1,-1,-1,-1,-1,-1,0.2579,-0.0074,0.000690101645886898
1713050078723645,0.1886,0.0000,0.0669,-1,-1,-1,-1,-1,-1,0.2654,-0.0074,0.0033664857037365437
1713050078764056,0.1741,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.2724,-0.0074,0.0017600946594029665
1713050078804472,0.1813,0.0000,0.0000,-1,-1,-1,-1,-1,-1,0.2796,-0.0074,0.0017600946594029665
1713050078845895,0.1769,0.0000,-0.0261,-1,-1,-1,-1,-1,-1,0.2867,-0.0074,0.0007153351325541735
1713050078886321,0.1855,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.2941,-0.0074,-0.0014257219154387712
1713050078925775,0.1847,0.0000,-0.0137,-1,-1,-1,-1,-1,-1,0.3015,-0.0074,-0.0019741756841540337
1713050078966197,0.1792,0.0000,0.0000,-1,-1,-1,-1,-1,-1,0.3087,-0.0074,-0.0019741756841540337
1713050079006610,0.1824,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.3160,-0.0074,-0.0035804847721010447
1713050079047169,0.1828,0.0000,-0.0534,-1,-1,-1,-1,-1,-1,0.3233,-0.0074,-0.0057145170867443085
1713050079087574,0.1814,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.3306,-0.0075,-0.006785601377487183
1713050079127990,0.1803,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.3378,-0.0075,-0.008391792885959148
1713050079168408,0.1834,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.3451,-0.0076,-0.009462528862059116
1713050079209272,0.1793,0.0000,-0.0265,-1,-1,-1,-1,-1,-1,0.3523,-0.0077,-0.010521583259105682
1713050079249803,0.1798,0.0000,-0.0133,-1,-1,-1,-1,-1,-1,0.3595,-0.0077,-0.011055460199713707
1713050079290215,0.1834,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.3668,-0.0078,-0.012126360088586807
1713050079330620,0.1824,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.3741,-0.0079,-0.012661902233958244
1713050079371039,0.1782,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.3812,-0.0080,-0.014267970807850361
1713050079411450,0.1793,0.0000,0.0268,-1,-1,-1,-1,-1,-1,0.3884,-0.0081,-0.013197050429880619
1713050079451985,0.1839,0.0000,-0.0133,-1,-1,-1,-1,-1,-1,0.3958,-0.0082,-0.01373087614774704
1713050079493093,0.1783,0.0000,-0.0263,-1,-1,-1,-1,-1,-1,0.4029,-0.0083,-0.014783644117414951
1713050079533515,0.1792,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.4101,-0.0084,-0.015854276716709137
1713050079573924,0.1834,0.0000,0.0000,-1,-1,-1,-1,-1,-1,0.4174,-0.0085,-0.015854276716709137
1713050079614330,0.1814,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.4247,-0.0086,-0.016925331205129623
1713050079654882,0.1797,0.0000,-0.0400,-1,-1,-1,-1,-1,-1,0.4318,-0.0087,-0.01852613314986229
1713050079695304,0.1865,0.0000,-0.0401,-1,-1,-1,-1,-1,-1,0.4393,-0.0089,-0.02013208344578743
1713050079735718,0.1834,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.4466,-0.0090,-0.0212029330432415
1713050079776136,0.1761,0.0000,-0.0669,-1,-1,-1,-1,-1,-1,0.4537,-0.0092,-0.02387978322803974
1713050079817710,0.1824,0.0000,-0.0520,-1,-1,-1,-1,-1,-1,0.4610,-0.0094,-0.02596171386539936
1713050079858243,0.1818,0.0000,-0.0133,-1,-1,-1,-1,-1,-1,0.4682,-0.0095,-0.026495564728975296
1713050079898667,0.1792,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.4754,-0.0097,-0.02756614238023758
1713050079932811,0.2134,0.0000,0.0158,-1,-1,-1,-1,-1,-1,0.4839,-0.0100,-0.02693239599466324
1713050079973224,0.1845,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.4913,-0.0102,-0.02853870578110218
1713050080013640,0.1813,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.4986,-0.0104,-0.030680295079946518
1713050080054270,0.1804,0.0000,-0.0266,-1,-1,-1,-1,-1,-1,0.5058,-0.0106,-0.03174544498324394
1713050080095749,0.1858,0.0000,-0.0130,-1,-1,-1,-1,-1,-1,0.5132,-0.0108,-0.032267116010189056
1713050080136153,0.1835,0.0000,-0.0536,-1,-1,-1,-1,-1,-1,0.5205,-0.0111,-0.03440934047102928
1713050080176551,0.1835,0.0000,-0.0536,-1,-1,-1,-1,-1,-1,0.5279,-0.0113,-0.036551881581544876
1713050080216973,0.1823,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.5352,-0.0116,-0.037087198346853256
1713050080257511,0.1829,0.0000,-0.0267,-1,-1,-1,-1,-1,-1,0.5425,-0.0119,-0.03815476968884468
1713050080297929,0.1813,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.5497,-0.0121,-0.039225511252880096
1713050080338334,0.1824,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.5570,-0.0124,-0.04083213955163956
1713050080379541,0.1830,0.0000,-0.0131,-1,-1,-1,-1,-1,-1,0.5643,-0.0127,-0.04135726019740105
1713050080419955,0.1813,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.5716,-0.0130,-0.04349895194172859
1713050080460489,0.1818,0.0000,-0.0400,-1,-1,-1,-1,-1,-1,0.5788,-0.0133,-0.045100465416908264
1713050080500898,0.1814,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.5861,-0.0137,-0.04617144167423248
1713050080541313,0.1813,0.0000,-0.0803,-1,-1,-1,-1,-1,-1,0.5933,-0.0140,-0.04938390105962753
1713050080581737,0.1834,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.6007,-0.0144,-0.0515250600874424
1713050080622148,0.1814,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.6079,-0.0147,-0.05259598419070244
1713050080663508,0.1731,0.0000,0.8109,-1,-1,-1,-1,-1,-1,0.6148,-0.0151,-0.0201590433716774
1713050080703933,0.1709,0.0000,1.3382,-1,-1,-1,-1,-1,-1,0.6217,-0.0152,0.03336866945028305
1713050080744364,0.1959,0.0000,0.6958,-1,-1,-1,-1,-1,-1,0.6295,-0.0150,0.06119894981384277
1713050080784780,0.1792,0.0000,0.4283,-1,-1,-1,-1,-1,-1,0.6366,-0.0145,0.07833163440227509
1713050080825186,0.1918,0.0000,0.1607,-1,-1,-1,-1,-1,-1,0.6443,-0.0139,0.0847579762339592
1713050080865737,0.1818,0.0000,-0.0400,-1,-1,-1,-1,-1,-1,0.6515,-0.0133,0.08315713703632355
1713050080906159,0.1844,0.0000,0.0134,-1,-1,-1,-1,-1,-1,0.6589,-0.0127,0.08369245380163193
1713050080952605,0.1614,0.0000,-0.0466,-1,-1,-1,-1,-1,-1,0.6653,-0.0122,0.08182890713214874
1713050080994116,0.1837,0.0000,0.0130,-1,-1,-1,-1,-1,-1,0.6726,-0.0116,0.08235017955303192
1713050081034530,0.1834,0.0000,0.0268,-1,-1,-1,-1,-1,-1,0.6800,-0.0110,0.08342102915048599
1713050081075074,0.1839,0.0000,0.0133,-1,-1,-1,-1,-1,-1,0.6873,-0.0104,0.08395473659038544
1713050081115481,0.1803,0.0000,-0.0669,-1,-1,-1,-1,-1,-1,0.6945,-0.0097,0.08127716183662415
1713050081155891,0.1834,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.7018,-0.0092,0.07913525402545929
1713050081196304,0.1834,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.7091,-0.0086,0.07806438207626343
1713050081237838,0.1825,0.0000,-0.0521,-1,-1,-1,-1,-1,-1,0.7164,-0.0080,0.07598043978214264
1713050081278392,0.1869,0.0000,-0.0534,-1,-1,-1,-1,-1,-1,0.7238,-0.0074,0.07384613901376724
1713050081318811,0.1824,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.7311,-0.0069,0.07224006950855255
1713050081359229,0.1855,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.7385,-0.0064,0.07009859383106232
1713050081399645,0.1845,0.0000,-0.0669,-1,-1,-1,-1,-1,-1,0.7459,-0.0058,0.06742160767316818
1713050081440055,0.1855,0.0000,0.0000,-1,-1,-1,-1,-1,-1,0.7533,-0.0053,0.06742160767316818
1713050081480597,0.1839,0.0000,-0.0400,-1,-1,-1,-1,-1,-1,0.7606,-0.0048,0.06582041084766388
1713050081520993,0.1887,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.7681,-0.0044,0.06421343237161636
1713050081562475,0.1899,0.0000,-0.0391,-1,-1,-1,-1,-1,-1,0.7757,-0.0039,0.06264851987361908
1713050081602885,0.1876,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.7832,-0.0034,0.06157756224274635
1713050081643289,0.1835,0.0000,-0.9372,-1,-1,-1,-1,-1,-1,0.7905,-0.0029,0.024088691920042038
1713050081683836,0.1901,0.0000,-0.5470,-1,-1,-1,-1,-1,-1,0.7981,-0.0028,0.0022083669900894165
1713050081724252,0.1938,0.0000,-0.2142,-1,-1,-1,-1,-1,-1,0.8059,-0.0027,-0.006357977166771889
1713050081764659,0.1960,0.0000,-0.1874,-1,-1,-1,-1,-1,-1,0.8137,-0.0028,-0.013855194672942162
1713050081806184,0.1968,0.0000,-0.1303,-1,-1,-1,-1,-1,-1,0.8216,-0.0029,-0.01906616799533367
1713050081846591,0.1887,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.8291,-0.0030,-0.020672712475061417
1713050081887126,0.1829,0.0000,-0.0267,-1,-1,-1,-1,-1,-1,0.8365,-0.0032,-0.021740363910794258
1713050081928403,0.1837,0.0000,-0.0262,-1,-1,-1,-1,-1,-1,0.8438,-0.0034,-0.022788817062973976
1713050081968835,0.1854,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.8512,-0.0035,-0.023859184235334396
1713050082009259,0.1855,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.8586,-0.0037,-0.02600034885108471
1713050082049676,0.1886,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.8662,-0.0039,-0.027606498450040817
1713050082090225,0.1890,0.0000,-0.0267,-1,-1,-1,-1,-1,-1,0.8737,-0.0041,-0.02867378108203411
1713050082130650,0.1855,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.8812,-0.0043,-0.030814889818429947
1713050082172167,0.1857,0.0000,-0.0391,-1,-1,-1,-1,-1,-1,0.8886,-0.0045,-0.032378483563661575
1713050082212579,0.1907,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.8962,-0.0048,-0.0329139344394207
1713050082252991,0.1866,0.0000,-0.0402,-1,-1,-1,-1,-1,-1,0.9037,-0.0050,-0.034520283341407776
1713050082293536,0.1849,0.0000,-0.0267,-1,-1,-1,-1,-1,-1,0.9111,-0.0053,-0.03558766841888428
1713050082333958,0.1855,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.9185,-0.0056,-0.03665830194950104
1713050082374383,0.1855,0.0000,0.0000,-1,-1,-1,-1,-1,-1,0.9259,-0.0058,-0.03665830194950104
1713050082415299,0.1843,0.0000,-0.0661,-1,-1,-1,-1,-1,-1,0.9332,-0.0061,-0.03930257260799408
1713050082455713,0.1876,0.0000,-0.0268,-1,-1,-1,-1,-1,-1,0.9407,-0.0064,-0.040373414754867554
1713050082496348,0.1876,0.0000,-0.0399,-1,-1,-1,-1,-1,-1,0.9482,-0.0067,-0.04197094589471817
1713050082536784,0.1865,0.0000,-0.0669,-1,-1,-1,-1,-1,-1,0.9557,-0.0070,-0.04464660584926605
1713050082577206,0.1865,0.0000,-0.0669,-1,-1,-1,-1,-1,-1,0.9631,-0.0073,-0.04732318967580795
1713050082617630,0.1875,0.0000,-0.0535,-1,-1,-1,-1,-1,-1,0.9706,-0.0077,-0.049464352428913116
1713050082658061,0.1865,0.0000,-0.0134,-1,-1,-1,-1,-1,-1,0.9781,-0.0081,-0.049999549984931946
