utime,vel vx,vel vy,vel wz,odometry x,odometry y,odometry theta,apriltag 1 id,apriltag 1 longitude,apriltag 1 latitude,apriltag 2 id,apriltag 2 longitude,apriltag 2 latitude,apriltag 1 world x,apriltag 1 world y,apriltag 2 world x,apriltag 2 world y
1712966397965230,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398005810,0.1120972112,0,-0.02666164003,0.004483888391,0,-0.001066465629,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398046260,0.1510107219,0,-0.04012788087,0.0105243139,-6.44E-06,-0.002671580762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398086660,0.1667768508,0,0,0.01719536446,-2.43E-05,-0.002671580762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398127070,0.1897415221,0,0.02677967399,0.02478499897,-4.45E-05,-0.001600393793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398168230,0.2077120095,0,0.01314172707,0.03309346735,-5.78E-05,-0.001074724714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398208770,0.2119585723,0,0.05337848514,0.04157180339,-6.69E-05,0.00106041471,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398249280,0.2183542401,0,0.02670909651,0.05030597001,-5.77E-05,0.002128778491,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398289690,0.2136511207,0,0.04015669972,0.05885199457,-3.95E-05,0.003735046368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398330110,0.2188350409,0,0.02676788904,0.06760533154,-6.80E-06,0.004805761855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398370530,0.2167348266,0,0,0.07627462596,3.49E-05,0.004805761855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398411070,0.2171482593,0,0.01334423665,0.08496045321,7.66E-05,0.005339531228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398451480,0.2147251964,0,-0.02677506208,0.09354934096,0.0001224657462,0.004268528894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398492910,0.2155021727,0,0,0.1021693498,0.0001592607296,0.004268528894,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398533320,0.2095030397,0,-0.9772433639,0.1105493978,0.0001950314036,-0.03482120484,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398573740,0.2229978144,0,-0.5353434682,0.1194639057,-0.0001155079226,-0.05623494089,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398614270,0.2109611928,0,-0.387070626,0.1278890073,-0.0005897934316,-0.07171776891,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398654680,0.2230750918,0,-0.1338822246,0.1367890686,-0.001229182817,-0.07707305998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398695100,0.2230143696,0,-0.1070765555,0.1456831545,-0.001916038338,-0.08135612309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398735510,0.2084555775,0,0.05354628339,0.1539938003,-0.002593655605,-0.07921427488,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398776280,0.2128081918,0,0,0.1624794304,-0.003267248627,-0.07921427488,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398817340,0.2133515477,0,-0.02634801157,0.1709867269,-0.003942561336,-0.08026819676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398857750,0.2105557621,0,-0.02677519061,0.1793818325,-0.004617872648,-0.08133920282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398898170,0.2115457654,0,0.01338420063,0.1878156811,-0.005305392668,-0.0808038339,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398939050,0.1978311837,0,0.9528216124,0.1957031041,-0.005944117904,-0.04269097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966398979460,0.2167830914,0,0.5354360342,0.20436652,-0.006314192899,-0.02127352916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399019990,0.2285940498,0,0.2402150929,0.2135082185,-0.006508698221,-0.01166492607,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399061320,0.2191281766,0,0.1963525116,0.2222727537,-0.006610940676,-0.003810825758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399101740,0.2042611986,0,-0.05353962258,0.2304431349,-0.006642076652,-0.0059524104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399142150,0.2126036435,0,-0.02677045204,0.2389471233,-0.006692696363,-0.007023228332,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399182580,0.2115143687,0,0.01338227931,0.247407496,-0.006752116606,-0.006487937178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399223200,0.2125309855,0,0.03994612396,0.2559085488,-0.006807271857,-0.004890092183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399263630,0.215655461,0,0.04014184326,0.2645346522,-0.006849454716,-0.00328441849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399304060,0.2125510424,0,0,0.2730366588,-0.006877379026,-0.00328441849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399345210,0.2118408829,0,0.01314390451,0.2815102339,-0.006905209739,-0.002758662216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399385630,0.2146773785,0,0,0.2900972962,-0.006928898394,-0.002758662216,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399426180,0.2129608244,0,0.01334231533,0.298615694,-0.006952397991,-0.002224969678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399466590,0.2146773785,0,0,0.3072027564,-0.006971504074,-0.002224969678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399507010,0.2167723477,0,0,0.3158736229,-0.006990796421,-0.002224969678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399547420,0.2157248259,0,-0.01338484138,0.3245025873,-0.007009995636,-0.002760363277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399587830,0.2157515138,0,-0.01338650659,0.3331326246,-0.007033817936,-0.003295823466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399628380,0.2150172591,0,-0.01334103476,0.3417332768,-0.007062164135,-0.003829464782,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399669820,0.2134433836,0,0,0.3502709568,-0.007094859146,-0.003829464782,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399710240,0.2167830914,0,-0.0267718602,0.3589422107,-0.007128065452,-0.00490033906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399750660,0.2135982662,0,0.01338227931,0.3674860299,-0.007169933524,-0.004365047906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399789040,0.2282483131,0,-0.02818776108,0.3766158819,-0.007209786214,-0.005492558237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399829580,0.2140365988,0,0,0.3851772249,-0.007256810088,-0.005492558237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399870000,0.214645505,0,-0.02676519938,0.3937629163,-0.007303968072,-0.006563166156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399910430,0.2146561444,0,-0.0267666094,0.4023489654,-0.007360320538,-0.007633830421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399951430,0.2198271304,0,0,0.411141783,-0.007427444682,-0.007633830421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966399991840,0.2167669833,0,0,0.4198122025,-0.007493634708,-0.007633830421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400032380,0.2150862366,0,-0.01334526204,0.4284153879,-0.007559311576,-0.008167641237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400072790,0.2167830765,0,0,0.4370864332,-0.007630134933,-0.008167641237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400113210,0.2146720737,0,-0.02676852979,0.4456730187,-0.007700268645,-0.009238382801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400153630,0.2178091258,0,0.01338496897,0.4543850124,-0.00778075587,-0.00870298408,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400194050,0.2177768052,0,-0.01338292006,0.4630957544,-0.00785656739,-0.009238300845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400234600,0.2160506696,0,0,0.4717374146,-0.007936404087,-0.009238300845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400275750,0.2159658968,0,-0.03943760693,0.4803756773,-0.008016209118,-0.01081580482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400316170,0.2157194912,0,-0.04015362635,0.4890039563,-0.008109534159,-0.01242194977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400356570,0.215799585,0,-0.01338945236,0.4976352751,-0.008216757327,-0.01295752823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400396990,0.2156821489,0,-0.01338227931,0.5062618256,-0.008328542113,-0.01349281892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400437530,0.2161039412,0,0,0.5149052143,-0.008445172571,-0.01349281892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400477950,0.2167509049,0,0,0.5235744715,-0.008562152274,-0.01349281892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400518370,0.2146826833,0,0,0.5321609974,-0.008678015321,-0.01349281892,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400559670,0.2131367475,0,-0.01309779286,0.5406857133,-0.008793044835,-0.01401673071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400600090,0.2136458158,0,-0.01338522602,0.5492306948,-0.008912825957,-0.01455213968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400640620,0.2119742483,0,0.02669116296,0.5577087402,-0.009036208503,-0.0134844929,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400681030,0.2136881202,0,-0.01338791568,0.5662555099,-0.009151464328,-0.0140200099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400721440,0.2115510106,0,0.01338458527,0.5747167468,-0.00927009806,-0.01348462608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400764380,0.2020919472,0,-0.02519981749,0.5827996731,-0.009379100055,-0.01449261885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400804800,0.2115510106,0,-0.04015375674,0.5912608504,-0.009501732886,-0.01609876938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400845330,0.2130343616,0,0.01334692724,0.599781096,-0.009638910182,-0.01556489244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400885730,0.2116085887,0,-0.04016464204,0.6082444191,-0.009770651348,-0.0171714779,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400927070,0.2139855772,0,0.02617457882,0.6168025732,-0.009917622432,-0.01612449437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966400967490,0.2146242857,0,-0.02676250972,0.6253864169,-0.01005604491,-0.01719499379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401007920,0.2125563174,0,0.02676455863,0.6338874102,-0.01020223368,-0.01612441242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401048460,0.214026019,0,-0.02668783255,0.6424473524,-0.01034026965,-0.01719192602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401088880,0.2187971473,0,0,0.6511979699,-0.01049072389,-0.01719192602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401129310,0.2167401612,0,-0.02676648088,0.6598662734,-0.01063976344,-0.01826258563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401170490,0.2178541571,0,0.01313634776,0.6685789824,-0.01079889759,-0.01773713157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401210910,0.2188079804,0,-0.02676443011,0.6773298979,-0.01095413044,-0.01880770922,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401251460,0.2171107829,0,-0.01334205922,0.6860128045,-0.01111745462,-0.01934139244,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401291870,0.2157141566,0,-0.04015273228,0.6946397424,-0.01128433272,-0.02094750106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401332290,0.220957458,0,0,0.7034760714,-0.01146945916,-0.02094750106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401372700,0.2136775404,0,0.01338714734,0.7120212913,-0.01164848637,-0.0204120148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401413100,0.2157889009,0,-0.01338881254,0.7206510305,-0.01182466187,-0.02094756812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401453650,0.2129450589,0,-0.04002400115,0.7291669846,-0.01200307626,-0.02254852839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401494790,0.2180606872,0,-0.01314864401,0.7378872037,-0.01219973713,-0.02307447419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401535210,0.2156874985,0,-0.01338266395,0.746512413,-0.01239879429,-0.02360977978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401575630,0.2199097574,0,-0.01338586584,0.7553063631,-0.01260645594,-0.02414521389,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401616030,0.2157622129,0,0.01338727493,0.7639343143,-0.01281482074,-0.02360972203,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401656560,0.2213588506,0,-0.01334756706,0.7727862,-0.01302385051,-0.02414362505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401696980,0.2167884409,0,0,0.7814552188,-0.01323319227,-0.02414362505,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401737390,0.2219722271,0,-0.04015375674,0.7903315425,-0.01344753988,-0.02574977465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401779890,0.2130800933,0,0.01272889506,0.7988519073,-0.01366698649,-0.02524061874,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401820310,0.2188458592,0,0,0.807602942,-0.01388791483,-0.02524061874,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401860840,0.2192424834,0,0.01334526204,0.8163698316,-0.01410924364,-0.02470680885,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401901260,0.2199206501,0,-0.01338650659,0.8251639605,-0.0143265631,-0.02524226904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401941680,0.219866246,0,-0.0133833047,0.8339558244,-0.01454853639,-0.02577760071,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712966401982080,0.220995754,0,-0.02677698433,0.8427926898,-0.01477638073,-0.02684867941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
