utime,type,apriltag id,apriltag x,apriltag y,apriltag z,odometry x,odometry y,odometry theta,vel vx,vel vy,vel wz
1712884320108557,MBOT_APRILTAG_ARRAY,80,175.3827362060547,16.384687423706055,685.810546875,0,0,0,0,0,0
1712884320155184,MBOT_APRILTAG_ARRAY,80,179.88107299804688,16.476346969604492,696.451416015625,0,0,0,0,0,0
1712884320180758,MBOT_APRILTAG_ARRAY,80,180.26101684570312,16.437732696533203,697.6648559570312,0,0,0,0,0,0
1712884320204033,MBOT_APRILTAG_ARRAY,80,180.31954956054688,16.4486141204834,697.904052734375,0,0,0,0,0,0
1712884320230125,MBOT_APRILTAG_ARRAY,80,180.2484588623047,16.42318344116211,697.6177368164062,0,0,0,0,0,0
1712884320259495,MBOT_APRILTAG_ARRAY,80,180.10647583007812,16.444198608398438,697.0985107421875,0,0,0,0,0,0
1712884320288737,MBOT_APRILTAG_ARRAY,80,180.45729064941406,16.4442195892334,698.42724609375,0,0,0,0,0,0
1712884320319669,MBOT_APRILTAG_ARRAY,80,180.2827606201172,16.440982818603516,697.7527465820312,0,0,0,0,0,0
1712884320353120,MBOT_APRILTAG_ARRAY,80,180.5225830078125,16.44683074951172,698.6537475585938,0,0,0,0,0,0
1712884320380910,MBOT_APRILTAG_ARRAY,80,180.4040069580078,16.437339782714844,698.2078247070312,0,0,0,0,0,0
1712884320409913,MBOT_APRILTAG_ARRAY,80,180.3061981201172,16.428600311279297,697.841552734375,0,0,0,0,0,0
1712884320440896,MBOT_APRILTAG_ARRAY,80,180.44935607910156,16.44127082824707,698.377685546875,0,0,0,0,0,0
1712884320470337,MBOT_APRILTAG_ARRAY,80,180.33583068847656,16.42927360534668,697.9266357421875,0,0,0,0,0,0
1712884320500418,MBOT_APRILTAG_ARRAY,80,180.3351593017578,16.429080963134766,697.9173583984375,0,0,0,0,0,0
1712884320531286,MBOT_APRILTAG_ARRAY,80,180.48883056640625,16.441162109375,698.4674072265625,0,0,0,0,0,0
1712884320564802,MBOT_APRILTAG_ARRAY,80,180.657958984375,16.458717346191406,699.1246337890625,0,0,0,0,0,0
1712884320590652,MBOT_APRILTAG_ARRAY,80,180.557373046875,16.448423385620117,698.748291015625,0,0,0,0,0,0
1712884320620764,MBOT_APRILTAG_ARRAY,80,180.70843505859375,16.457948684692383,699.308837890625,0,0,0,0,0,0
1712884320653120,MBOT_APRILTAG_ARRAY,80,180.66091918945312,16.454275131225586,699.132080078125,0,0,0,0,0,0
1712884320711190,MBOT_APRILTAG_ARRAY,80,180.63365173339844,16.451786041259766,699.040283203125,0,0,0,0,0,0
1712884320737422,MBOT_APRILTAG_ARRAY,80,180.5660400390625,16.444181442260742,698.7816772460938,0,0,0,0,0,0
1712884320760855,MBOT_APRILTAG_ARRAY,80,180.58164978027344,16.445581436157227,698.83251953125,0,0,0,0,0,0
1712884320785086,MBOT_APRILTAG_ARRAY,80,180.50498962402344,16.439849853515625,698.5513305664062,0,0,0,0,0,0
1712884320806792,MBOT_APRILTAG_ARRAY,80,180.5841827392578,16.446130752563477,698.8424072265625,0,0,0,0,0,0
1712884320831456,MBOT_APRILTAG_ARRAY,80,180.61801147460938,16.448942184448242,698.9886474609375,0,0,0,0,0,0
1712884320861149,MBOT_APRILTAG_ARRAY,80,180.32391357421875,16.422697067260742,697.8770141601562,0,0,0,0,0,0
1712884320890737,MBOT_APRILTAG_ARRAY,80,180.42510986328125,16.43098258972168,698.2813720703125,0,0,0,0,0,0
1712884320928434,MBOT_APRILTAG_ARRAY,80,180.4055938720703,16.444618225097656,698.2125244140625,0,0,0,0,0,0
